A,B,C,D,E,F,G,H,P,Q,S,T
,,Ἰσιδώρου,Ἰσιδώρου,Ἰσιδώρου,,,Ἰσιδώρου,Ἰσιδώρου,νείλου,Ἰσιδώρου,
,,Πηλουσίου,πηλουσιώτ(ου),Πηλουσίου,,,Πηλουσίου,πηλουσιώτ(ου),τοῦ,πηλουσιώτ(ου),
Γρηγορίου,,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,,Γρηγορίου,Γρηγορίου
Νύσης,,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,νύσσης,Νύσης,Νύσης
Ἤκουσά,,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά
που,,που,που,που,που,που,που,που,που,που,που
τῆς,,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἁγίας,,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας
γραφῆς,,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς
κατακρινούσης,,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης
"ἐκείνους,",,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,"
οἳ,,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ
κατὰ,,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ
τῆς,,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,,τῆς,τῆς
τοῦ,,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
θεοῦ,,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ
βλασφημίας,,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας
αἴτιοι,,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι
γίνονται.,,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.
Οὐαὶ,,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
γὰρ,,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
φησὶν,,φησὶν,φησὶν,φησὶν,,φησὶν,,φησὶν,φησὶν,φησὶν,φησὶν
δι᾽,,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.
Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ
τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο
,,,,,,,,,γὰρ,,
χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις
ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν
ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος
ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται
λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων
ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις
εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.
